product_id,size
85722282,XLarge
85722534,2XLarge
85722534,Medium
85722536,Hat Large/XLarge
85722536,Hat Medium/Large
85722536,Hat Small/Medium
85722924,Hat Large/XLarge
85722924,Hat Medium/Large
85722924,Hat Small/Medium
85722999,Hat Large/XLarge
85722999,Hat Small/Medium
85733264,2XLarge
85733264,3XLarge
85733264,Large
85733264,Medium
85733264,Small
85733264,XLarge
85733264,XSmall
85747047,2XLarge
85747047,3XLarge
85747047,Large
85747047,Medium
85747047,XLarge
85750540,Large
85750540,Medium
85750540,Small
85750540,XLarge
85752315,Large
85752315,Medium
85752315,XLarge
85917013,2XLarge
85917013,Large
85917013,Medium
85917013,Small
85917013,XLarge
85917050,2XLarge
85917050,Large
85917050,Medium
85917050,Small
85917050,XLarge
85917711,2XLarge
85917711,Large
85917711,Medium
85917711,Small
85917711,XLarge
85917824,Large
85917824,Medium
85917824,Small
85917824,XLarge
86005031,Large
86005031,Medium
86005031,Small
86005031,XLarge
86005031,XSmall
86122922,Large
86122922,XLarge
86123432,Large
86123432,Medium
86123432,Small
86123801,Small
86123801,XLarge
86123818,30 Waist
86123818,34 Waist
86123818,35 Waist
86123830,2XLarge
86123830,Large
86123830,Medium
86123830,Small
86123830,XLarge
86189959,2XLarge
86189959,3XLarge
86189959,Large
86189959,Medium
86189959,Small
86189959,XLarge
86192142,Medium
86192142,Small
86192184,Medium
86192184,Small
86228183,Large
86228183,Medium
86228183,Small
86228183,XSmall
86242053,2XLarge
86242053,Large
86242053,Medium
86242053,Small
86242053,XLarge
86252724,3XLarge
86252724,Large
86252724,Medium
86252724,Small
86252724,XLarge
86252724,XSmall
86252725,2XLarge
86252725,3XLarge
86252725,Large
86252725,Medium
86252725,Small
86252725,XLarge
86252727,2XLarge
86252727,Medium
86252727,Small
86252727,XSmall
86252728,2XLarge
86252728,3XLarge
86252728,Large
86252728,Medium
86252728,Small
86252728,XLarge
86253105,2XLarge
86253105,3XLarge
86253105,Large
86253105,Small
86253105,XLarge
86253108,2XLarge
86253108,3XLarge
86253108,Large
86253108,Medium
86253108,Small
86253108,XLarge
86253213,2XLarge
86253213,Large
86253213,Medium
86253213,Small
86253213,XLarge
86253213,XSmall
86253276,2XLarge
86253276,Medium
86253276,Small
86253276,XLarge
86253414,2XLarge
86253414,3XLarge
86253414,Large
86253414,Medium
86253414,Small
86253414,XLarge
